search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
ibs clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs latest treatment,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ibs specialist toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ibs toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
ibs treatment at home,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ibs treatment canada,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
inpatient trauma treatment centers near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
intensive emdr therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
jillian hosey,Keep,Continue observing,ARC - Regional - Search,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
mindfulness for pain relief,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
nerva reviews,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
neurotherapy treatment for back pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
north york pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
ontario shores trauma program,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic north york,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic oakville,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic pickering,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain clinic richmond hill,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain injection clinic near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pain processing therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
pain specialists near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
pantea rafati,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
prt therapy scarborough,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
psychology today emdr therapist,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
scarborough osteopath,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
spinal decompression therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
tapmi pain clinic toronto,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
tension myositis syndrome doctors near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
top rated emdr therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma informed doctors near me,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
trauma sensitive therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
treatment for ibs in men,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
treatment for nerve pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
what is deep brain reorienting therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - DBR,0.0,2.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
what to take for chronic pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,2.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
15 wellesley street west pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
17730 leslie street newmarket pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
2 champagne drive pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
5 pillars therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
8 phases of emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
access mental health ontario,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
allevio clinic north york,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
anxiety groups toronto,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
arthritis back pain relief,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
attune therapy guelph,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
bella lindemann functional nutritionist,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
best natural treatment for ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
best pain killer for chronic pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
best tea for ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
best therapy for childhood sexual abuse,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
best treatment for ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
calm emdr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
can emdr be done virtually,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
can emdr help with anxiety,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
can hypnosis help with chronic pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Informational therapy research query. Keep visible unless the client wants tighter pruning.,"Reply Focus, Keep, or Exclude."
can ibs be cured,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
central sensitization treatment,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
child trauma psychologist,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic back pain solutions,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic illness therapist near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic nerve pain treatment,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic pain clinic etobicoke,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
chronic pain relief,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
chronic pain specialist near me,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
chronic pain syndrome treatment,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
cognitive behavior therapy for chronic pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dangers of emdr therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dbr therapists,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - DBR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dbt and emdr therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dealing with chronic back pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dealing with trauma,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
deepbrain reorienting,Keep,Continue observing,ARC - Search - Services,Therapy - DBR,Therapy - DBR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
degroote pain clinic hamilton,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
depression clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
dietitian ibs specialist,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
doctor for ibs treatment,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
does cbd help chronic pain,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
does emdr work,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dr ho's pain therapy system pro,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dr melissa holowaty,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
dr perelman pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
dr rozen pain clinic,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
dry needling for nerve pain,Exclude,Do not stage yet,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
e m d r therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
eating for ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr and cptsd,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr canada,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr cbt therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr childhood trauma,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr eye movement desensitization and reprocessing,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr for adhd,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr for attachment issues,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr mississauga,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr rapid eye movement therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr somatic therapy near me,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr tapping,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapy barrie,Exclude,Do not stage yet,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
emdr therapy covered by insurance,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapy in person,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapy means,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapy north york,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr therapy ontario,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr therapy therapist,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapy thunder bay,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr therapy vaughan,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr therapy whitby,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emdr trauma therapy toronto,Review,"Client to mark Focus, Keep, or Exclude",ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Geo-modified service term. Confirm whether this city and service should become an active focus.,"Reply Focus, Keep, or Exclude."
emdr vs dbr,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
emt eye movement therapy,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
ensure and ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
erp therapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
erp therapy toronto,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Illness,Therapy - Chronic Illness,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
evette meikle,Keep,Continue observing,ARC - Search - Services,Therapy - Trauma & PTSD,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
eye movement therapy for anxiety,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - EMDR,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
eye therapy for trauma,Keep,Continue observing,ARC - Search - Services,Therapy - EMDR,Therapy - Trauma & PTSD,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
fibre for ibs,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
fibromyalgia psychotherapy,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
florastor ibs sci,Exclude,Do not stage yet,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,"Likely non-service, provider, institution, supplement, procedure, or clinic-seeking intent.","Reply Focus, Keep, or Exclude."
foods for ibs flare up,Keep,Continue observing,ARC - Search - Services,Therapy - IBS & Gut Health,Therapy - IBS & Gut Health,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
foot pain relief near me,Keep,Continue observing,ARC - Search - Services,Therapy - Chronic Pain,Therapy - Chronic Pain,0.0,1.0,0.0,0.0,Low-risk exploratory query with no urgent action from this report.,"Reply Focus, Keep, or Exclude."
